wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,direction
160,632,240,168,0,0,0,0,1,0,0,0,2
168,632,232,168,0,0,0,0,1,0,0,0,2
176,632,224,168,0,0,0,0,1,0,0,0,2
184,632,216,168,0,0,0,0,1,0,0,0,2
192,632,208,168,0,0,0,0,1,0,0,0,2
200,632,200,168,0,0,0,0,1,0,0,0,2
208,632,192,168,0,0,0,0,1,0,0,0,2
216,632,184,168,0,0,0,0,1,0,0,0,2
224,632,176,168,0,1,0,0,1,0,0,0,1
224,624,176,176,0,1,0,0,0,0,0,1,1
224,616,176,184,0,1,0,0,0,0,0,1,1
224,608,176,192,0,1,0,0,0,0,0,1,1
224,600,176,200,0,1,0,0,0,0,0,1,1
224,592,176,208,0,1,0,0,0,0,0,1,1
224,584,176,216,0,1,0,0,0,0,0,1,1
224,576,176,224,0,1,0,0,0,0,0,1,1
224,568,176,232,0,1,0,0,0,0,0,1,1
224,560,176,240,0,1,0,0,0,0,0,1,1
224,552,176,248,0,1,0,0,0,0,0,1,1
224,544,176,256,0,1,0,0,0,0,0,1,1
224,536,176,264,0,1,0,0,0,0,0,1,1
224,528,176,272,0,1,0,0,0,0,0,1,1
224,520,176,280,0,1,0,0,0,0,0,1,1
224,512,176,288,0,1,0,0,0,0,0,1,1
224,504,176,296,0,1,0,0,0,0,0,1,1
224,496,176,304,0,1,0,0,0,0,0,1,1
224,488,176,312,0,1,0,0,0,0,0,1,1
224,480,176,320,0,1,0,0,0,0,0,1,1
224,472,176,328,0,1,0,0,0,0,0,1,1
224,464,176,336,0,1,0,0,0,0,0,1,1
224,456,176,344,0,1,0,0,0,0,0,1,1
224,448,176,352,0,1,0,0,0,0,0,1,1
224,440,176,360,0,1,0,0,0,0,0,1,1
224,432,176,368,0,1,0,0,0,0,0,1,1
224,424,176,376,0,1,0,0,0,0,0,1,1
224,416,176,384,0,1,0,0,0,0,0,1,1
224,408,176,392,0,1,0,0,0,0,0,1,1
224,400,176,400,0,1,0,0,0,0,0,1,1
224,392,176,408,0,1,0,0,0,0,0,1,1
224,384,176,416,0,1,0,0,0,0,0,1,1
224,376,176,424,0,1,0,0,0,0,0,1,1
224,368,176,432,0,1,0,0,0,0,0,1,1
224,360,176,440,0,1,0,0,0,0,0,1,1
224,352,176,448,0,1,0,0,0,0,0,1,1
224,344,176,456,0,1,0,0,0,0,0,1,1
224,336,176,464,0,1,0,0,0,0,0,1,1
224,328,176,472,0,1,0,0,0,0,0,1,1
224,320,176,480,0,1,0,0,0,0,0,1,1
224,312,176,488,0,1,0,0,0,0,0,1,1
224,304,176,496,0,1,0,0,0,0,0,1,1
224,296,176,504,0,1,0,0,0,0,0,1,1
224,288,176,512,0,1,0,0,0,0,0,1,1
224,280,176,520,0,1,0,0,0,0,0,1,1
224,272,176,528,0,1,0,0,0,0,0,1,1
224,264,176,536,0,1,0,0,0,0,0,1,1
224,256,176,544,0,1,0,0,0,0,0,1,1
224,248,176,552,0,1,0,0,0,0,0,1,1
224,240,176,560,0,1,0,0,0,0,0,1,1
224,232,176,568,0,1,0,0,0,0,0,1,1
224,224,176,576,0,1,0,0,0,0,0,1,1
224,216,176,584,0,1,0,0,0,0,0,1,1
224,208,176,592,0,1,0,0,0,0,0,1,1
224,200,176,600,0,1,0,0,0,0,0,1,1
224,192,176,608,0,1,0,0,0,0,0,1,1
224,184,176,616,0,1,0,0,0,0,0,1,1
224,176,176,624,0,1,0,0,0,0,0,1,1
224,168,176,632,0,1,0,0,0,0,0,1,1
224,160,176,640,0,1,0,0,0,0,0,1,1
224,152,176,648,0,1,0,0,0,0,0,1,1
224,144,176,656,0,1,0,0,0,0,0,1,1
224,136,176,664,0,1,0,0,0,0,0,1,1
224,128,176,672,0,1,0,0,0,0,0,1,1
224,120,176,680,0,1,0,0,0,0,0,1,1
224,112,176,688,0,1,0,0,0,0,0,1,1
224,104,176,696,0,0,0,0,0,0,0,1,0
216,104,184,696,0,0,0,0,0,0,1,0,0
208,104,192,696,0,0,0,0,0,0,1,0,0
200,104,200,696,0,0,0,1,0,0,1,0,3
200,112,200,688,0,0,0,1,0,1,0,0,3
200,120,200,680,0,0,0,1,0,1,0,0,3
200,128,200,672,0,0,0,1,0,1,0,0,3
200,136,200,664,0,0,0,1,0,1,0,0,3
200,144,200,656,0,0,0,1,0,1,0,0,3
200,152,200,648,0,0,0,1,0,1,0,0,3
200,160,200,640,0,0,0,1,0,1,0,0,3
200,168,200,632,0,0,0,1,0,1,0,0,3
200,176,200,624,0,0,0,1,0,1,0,0,3
200,184,200,616,0,0,0,1,0,1,0,0,3
200,192,200,608,0,0,0,1,0,1,0,0,3
200,200,200,600,0,0,0,1,0,1,0,0,3
200,208,200,592,0,0,0,1,0,1,0,0,3
200,216,200,584,0,0,0,1,0,1,0,0,3
200,224,200,576,0,0,0,1,0,1,0,0,3
200,232,200,568,0,0,0,1,0,1,0,0,3
200,240,200,560,0,0,0,1,0,1,0,0,3
200,248,200,552,0,0,0,1,0,1,0,0,3
200,256,200,544,0,0,0,1,0,1,0,0,3
200,264,200,536,0,0,0,1,0,1,0,0,3
200,272,200,528,0,0,0,1,0,1,0,0,3
200,280,200,520,0,0,0,1,0,1,0,0,3
200,288,200,512,0,0,0,1,0,1,0,0,3
200,296,200,504,0,0,0,1,0,1,0,0,3
200,304,200,496,0,0,0,1,0,1,0,0,3
200,312,200,488,0,0,0,1,0,1,0,0,3
200,320,200,480,0,0,0,1,0,1,0,0,3
200,328,200,472,0,0,0,1,0,1,0,0,3
200,336,200,464,0,0,0,1,0,1,0,0,3
200,344,200,456,0,0,0,1,0,1,0,0,3
200,352,200,448,0,0,0,1,0,1,0,0,3
200,360,200,440,0,0,0,1,0,1,0,0,3
200,368,200,432,0,0,0,1,0,1,0,0,3
200,376,200,424,0,0,0,1,0,1,0,0,3
200,384,200,416,0,0,0,1,0,1,0,0,3
200,392,200,408,0,0,0,1,0,1,0,0,3
200,400,200,400,0,0,0,1,0,1,0,0,3
200,408,200,392,0,0,0,1,0,1,0,0,3
200,416,200,384,0,0,0,1,0,1,0,0,3
200,424,200,376,0,0,0,1,0,1,0,0,3
200,432,200,368,0,0,0,1,0,1,0,0,3
200,440,200,360,0,0,0,1,0,1,0,0,3
200,448,200,352,0,0,0,1,0,1,0,0,3
200,456,200,344,0,0,0,1,0,1,0,0,3
200,464,200,336,0,0,0,1,0,1,0,0,3
200,472,200,328,0,0,0,1,0,1,0,0,3
200,480,200,320,0,0,0,1,0,1,0,0,3
200,488,200,312,0,0,0,1,0,1,0,0,3
200,496,200,304,0,0,0,1,0,1,0,0,3
200,504,200,296,0,0,0,1,0,1,0,0,3
200,512,200,288,0,0,0,1,0,1,0,0,3
200,520,200,280,0,0,0,1,0,1,0,0,3
200,528,200,272,0,0,0,1,0,1,0,0,3
200,536,200,264,0,0,0,1,0,1,0,0,3
200,544,200,256,0,0,0,1,0,1,0,0,3
200,552,200,248,0,0,0,1,0,1,0,0,3
200,560,200,240,0,0,0,1,0,1,0,0,3
200,568,200,232,0,0,0,1,0,1,0,0,3
200,576,200,224,0,0,0,1,0,1,0,0,3
200,584,200,216,0,0,0,1,0,1,0,0,3
200,592,200,208,0,0,0,1,0,1,0,0,3
200,600,200,200,0,0,0,1,0,1,0,0,3
200,608,200,192,0,0,0,0,0,1,0,0,0
192,608,208,192,0,0,0,1,0,0,1,0,3
192,616,208,184,0,0,0,1,0,1,0,0,3
192,624,208,176,0,0,0,0,0,1,0,0,2
200,624,200,176,0,0,0,0,1,0,0,0,2
208,624,192,176,0,0,0,0,1,0,0,0,2
216,624,184,176,0,0,0,0,1,0,0,0,2
224,624,176,176,0,0,0,0,1,0,0,0,2
232,624,168,176,0,0,0,0,1,0,0,0,2
240,624,160,176,0,0,0,0,1,0,0,0,2
248,624,152,176,0,0,0,0,1,0,0,0,2
256,624,144,176,0,0,0,0,1,0,0,0,2
264,624,136,176,0,0,0,0,1,0,0,0,2
272,624,128,176,0,0,0,0,1,0,0,0,2
280,624,120,176,0,0,0,0,1,0,0,0,2
288,624,112,176,0,0,0,0,1,0,0,0,2
296,624,104,176,0,0,0,0,1,0,0,0,2
304,624,96,176,0,0,0,0,1,0,0,0,2
312,624,88,176,0,0,0,0,1,0,0,0,2
320,624,80,176,0,0,0,0,1,0,0,0,2
328,624,72,176,0,0,0,0,1,0,0,0,2
336,624,64,176,0,0,0,0,1,0,0,0,2
344,624,56,176,0,0,0,0,1,0,0,0,2
352,624,48,176,0,0,0,1,1,0,0,0,3
352,632,48,168,0,0,0,1,0,1,0,0,3
352,640,48,160,0,0,0,1,0,1,0,0,3
352,648,48,152,0,0,0,1,0,1,0,0,3
352,656,48,144,0,0,0,1,0,1,0,0,3
352,664,48,136,0,0,0,1,0,1,0,0,3
352,672,48,128,0,0,0,1,0,1,0,0,3
352,680,48,120,0,0,0,1,0,1,0,0,3
352,688,48,112,0,0,0,1,0,1,0,0,3
352,696,48,104,0,0,0,1,0,1,0,0,3
352,704,48,96,0,0,0,1,0,1,0,0,3
